,county,cases,deaths
0,Snohomish,1,0
1,Snohomish,1,0
2,Snohomish,1,0
3,Cook,1,0
4,Snohomish,1,0
5,Orange,1,0
6,Cook,1,0
7,Snohomish,1,0
8,Maricopa,1,0
9,Los Angeles,1,0
10,Orange,1,0
11,Cook,1,0
12,Snohomish,1,0
13,Maricopa,1,0
14,Los Angeles,1,0
15,Orange,1,0
16,Cook,1,0
17,Snohomish,1,0
18,Maricopa,1,0
19,Los Angeles,1,0
20,Orange,1,0
21,Cook,1,0
22,Snohomish,1,0
23,Maricopa,1,0
24,Los Angeles,1,0
25,Orange,1,0
26,Cook,1,0
27,Snohomish,1,0
28,Maricopa,1,0
29,Los Angeles,1,0
30,Orange,1,0
31,Cook,2,0
32,Snohomish,1,0
33,Maricopa,1,0
34,Los Angeles,1,0
35,Orange,1,0
36,Santa Clara,1,0
37,Cook,2,0
38,Snohomish,1,0
39,Maricopa,1,0
40,Los Angeles,1,0
41,Orange,1,0
42,Santa Clara,1,0
43,Cook,2,0
44,Suffolk,1,0
45,Snohomish,1,0
46,Maricopa,1,0
47,Los Angeles,1,0
48,Orange,1,0
49,San Francisco,2,0
50,Santa Clara,2,0
51,Cook,2,0
52,Suffolk,1,0
53,Snohomish,1,0
54,Maricopa,1,0
55,Los Angeles,1,0
56,Orange,1,0
57,San Francisco,2,0
58,Santa Clara,2,0
59,Cook,2,0
60,Suffolk,1,0
61,Snohomish,1,0
62,Maricopa,1,0
63,Los Angeles,1,0
64,Orange,1,0
65,San Francisco,2,0
66,Santa Clara,2,0
67,Cook,2,0
68,Suffolk,1,0
69,Snohomish,1,0
70,Maricopa,1,0
71,Los Angeles,1,0
72,Orange,1,0
73,San Francisco,2,0
74,Santa Clara,2,0
75,Cook,2,0
76,Suffolk,1,0
77,Snohomish,1,0
78,Dane,1,0
79,Maricopa,1,0
80,Los Angeles,1,0
81,Orange,1,0
82,San Francisco,2,0
83,Santa Clara,2,0
84,Cook,2,0
85,Suffolk,1,0
86,Snohomish,1,0
87,Dane,1,0
88,Maricopa,1,0
89,Los Angeles,1,0
90,Orange,1,0
91,San Francisco,2,0
92,Santa Clara,2,0
93,Cook,2,0
94,Suffolk,1,0
95,Snohomish,1,0
96,Dane,1,0
97,Maricopa,1,0
98,Los Angeles,1,0
99,Orange,1,0
100,San Francisco,2,0
101,Santa Clara,2,0
102,Cook,2,0
103,Suffolk,1,0
104,Snohomish,1,0
105,Dane,1,0
106,Maricopa,1,0
107,Los Angeles,1,0
108,Orange,1,0
109,San Francisco,2,0
110,Santa Clara,2,0
111,Cook,2,0
112,Suffolk,1,0
113,Snohomish,1,0
114,Dane,1,0
115,Maricopa,1,0
116,Los Angeles,1,0
117,Orange,1,0
118,San Diego,1,0
119,San Francisco,2,0
120,Santa Clara,2,0
121,Cook,2,0
122,Suffolk,1,0
123,Snohomish,1,0
124,Dane,1,0
125,Maricopa,1,0
126,Los Angeles,1,0
127,Orange,1,0
128,San Diego,1,0
129,San Francisco,2,0
130,Santa Clara,2,0
131,Cook,2,0
132,Suffolk,1,0
133,Snohomish,1,0
134,Dane,1,0
135,Maricopa,1,0
136,Los Angeles,1,0
137,Orange,1,0
138,San Diego,1,0
139,San Francisco,2,0
140,Santa Clara,2,0
141,Cook,2,0
142,Suffolk,1,0
143,Bexar,1,0
144,Snohomish,1,0
145,Dane,1,0
146,Maricopa,1,0
147,Los Angeles,1,0
148,Orange,1,0
149,San Diego,1,0
150,San Francisco,2,0
151,Santa Clara,2,0
152,Cook,2,0
153,Suffolk,1,0
154,Bexar,2,0
155,Snohomish,1,0
156,Dane,1,0
157,Maricopa,1,0
158,Los Angeles,1,0
159,Orange,1,0
160,San Diego,1,0
161,San Francisco,2,0
162,Santa Clara,2,0
163,Cook,2,0
164,Suffolk,1,0
165,Bexar,2,0
166,Snohomish,1,0
167,Dane,1,0
168,Maricopa,1,0
169,Los Angeles,1,0
170,Orange,1,0
171,San Diego,1,0
172,San Francisco,2,0
173,Santa Clara,2,0
174,Cook,2,0
175,Suffolk,1,0
176,Bexar,2,0
177,Snohomish,1,0
178,Dane,1,0
179,Maricopa,1,0
180,Los Angeles,1,0
181,Orange,1,0
182,San Diego,1,0
183,San Francisco,2,0
184,Santa Clara,2,0
185,Cook,2,0
186,Suffolk,1,0
187,Bexar,2,0
188,Snohomish,1,0
189,Dane,1,0
190,Maricopa,1,0
191,Los Angeles,1,0
192,Orange,1,0
193,San Diego,1,0
194,San Francisco,2,0
195,Santa Clara,2,0
196,Cook,2,0
197,Suffolk,1,0
198,Douglas,10,0
199,Bexar,2,0
200,Snohomish,1,0
201,Dane,1,0
202,Maricopa,1,0
203,Los Angeles,1,0
204,Orange,1,0
205,San Diego,1,0
206,San Francisco,2,0
207,Santa Clara,2,0
208,Cook,2,0
209,Suffolk,1,0
210,Douglas,10,0
211,Bexar,2,0
212,Snohomish,1,0
213,Dane,1,0
214,Maricopa,1,0
215,Los Angeles,1,0
216,Orange,1,0
217,San Diego,1,0
218,San Francisco,2,0
219,Santa Clara,2,0
220,Cook,2,0
221,Suffolk,1,0
222,Douglas,10,0
223,Bexar,2,0
224,Snohomish,1,0
225,Dane,1,0
226,Maricopa,1,0
227,Humboldt,1,0
228,Los Angeles,1,0
229,Orange,1,0
230,San Diego,1,0
231,San Francisco,2,0
232,Santa Clara,2,0
233,Cook,2,0
234,Suffolk,1,0
235,Douglas,11,0
236,Bexar,2,0
237,Snohomish,1,0
238,Dane,1,0
239,Maricopa,1,0
240,Humboldt,1,0
241,Los Angeles,1,0
242,Orange,1,0
243,Sacramento,1,0
244,San Diego,1,0
245,San Francisco,2,0
246,Santa Clara,2,0
247,Cook,2,0
248,Suffolk,1,0
249,Douglas,11,0
250,Bexar,4,0
251,Snohomish,1,0
252,Dane,1,0
253,Maricopa,1,0
254,Humboldt,1,0
255,Los Angeles,1,0
256,Orange,1,0
257,Sacramento,1,0
258,San Diego,1,0
259,San Francisco,2,0
260,Santa Clara,2,0
261,Cook,2,0
262,Suffolk,1,0
263,Douglas,11,0
264,Bexar,4,0
265,Snohomish,1,0
266,Dane,1,0
267,Maricopa,1,0
268,Humboldt,1,0
269,Los Angeles,1,0
270,Orange,1,0
271,Sacramento,1,0
272,San Diego,1,0
273,San Francisco,2,0
274,Santa Clara,2,0
275,Cook,2,0
276,Suffolk,1,0
277,Douglas,11,0
278,Bexar,4,0
279,Snohomish,1,0
280,Dane,1,0
281,Maricopa,1,0
282,Humboldt,1,0
283,Los Angeles,1,0
284,Orange,1,0
285,Sacramento,1,0
286,San Diego,1,0
287,San Francisco,3,0
288,Santa Clara,2,0
289,Solano,1,0
290,Cook,2,0
291,Suffolk,1,0
292,Douglas,12,0
293,Bexar,10,0
294,Snohomish,1,0
295,Spokane,4,0
296,Dane,1,0
297,Maricopa,1,0
298,Humboldt,1,0
299,Los Angeles,1,0
300,Orange,1,0
301,Sacramento,1,0
302,San Diego,1,0
303,San Francisco,3,0
304,Santa Clara,2,0
305,Solano,1,0
306,Cook,2,0
307,Suffolk,1,0
308,Douglas,13,0
309,Bexar,10,0
310,Salt Lake,1,0
311,Snohomish,1,0
312,Spokane,4,0
313,Dane,1,0
314,Maricopa,1,0
315,Humboldt,1,0
316,Los Angeles,1,0
317,Marin,1,0
318,Napa,1,0
319,Orange,1,0
320,Sacramento,3,0
321,San Diego,1,0
322,San Francisco,3,0
323,Santa Clara,2,0
324,Solano,11,0
325,Sonoma,1,0
326,Cook,2,0
327,Suffolk,1,0
328,Douglas,13,0
329,Bexar,10,0
330,Salt Lake,1,0
331,Snohomish,1,0
332,Spokane,4,0
333,Dane,1,0
334,Maricopa,1,0
335,Humboldt,1,0
336,Los Angeles,1,0
337,Marin,1,0
338,Napa,1,0
339,Orange,1,0
340,Sacramento,3,0
341,San Diego,1,0
342,San Francisco,3,0
343,Santa Clara,2,0
344,Solano,11,0
345,Sonoma,1,0
346,Cook,2,0
347,Suffolk,1,0
348,Douglas,13,0
349,Bexar,10,0
350,Salt Lake,1,0
351,Snohomish,1,0
352,Spokane,4,0
353,Dane,1,0
354,Maricopa,1,0
355,Humboldt,1,0
356,Los Angeles,1,0
357,Marin,1,0
358,Napa,1,0
359,Orange,1,0
360,Sacramento,3,0
361,San Diego,1,0
362,San Francisco,3,0
363,Santa Clara,3,0
364,Solano,11,0
365,Sonoma,1,0
366,Cook,2,0
367,Suffolk,1,0
368,Douglas,13,0
369,Washington,1,0
370,Bexar,11,0
371,Salt Lake,1,0
372,King,1,0
373,Snohomish,2,0
374,Spokane,4,0
375,Dane,1,0
376,Maricopa,1,0
377,Humboldt,1,0
378,Los Angeles,1,0
379,Marin,1,0
380,Napa,1,0
381,Orange,1,0
382,Sacramento,3,0
383,San Diego,1,0
384,San Francisco,3,0
385,Santa Clara,4,0
386,Solano,11,0
387,Sonoma,1,0
388,Cook,3,0
389,Suffolk,1,0
390,Douglas,13,0
391,Washington,1,0
392,Bexar,11,0
393,Salt Lake,1,0
394,King,4,1
395,Snohomish,2,0
396,Spokane,4,0
397,Dane,1,0
398,Maricopa,1,0
399,Alameda,1,0
400,Humboldt,1,0
401,Los Angeles,1,0
402,Marin,1,0
403,Napa,1,0
404,Orange,1,0
405,Sacramento,3,0
406,San Diego,1,0
407,San Francisco,3,0
408,Santa Clara,7,0
409,Solano,12,0
410,Sonoma,1,0
411,Hillsborough,1,0
412,Manatee,1,0
413,Cook,3,0
414,Suffolk,1,0
415,Douglas,13,0
416,New York City,1,0
417,Washington,2,0
418,Unknown,2,0
419,Bexar,11,0
420,Salt Lake,1,0
421,King,11,3
422,Snohomish,2,0
423,Spokane,4,0
424,Dane,1,0
425,Maricopa,1,0
426,Alameda,1,0
427,Humboldt,1,0
428,Los Angeles,1,0
429,Marin,1,0
430,Napa,1,0
431,Orange,1,0
432,Placer,1,0
433,Sacramento,3,0
434,San Diego,1,0
435,San Francisco,3,0
436,San Mateo,1,0
437,Santa Clara,9,0
438,Solano,12,0
439,Sonoma,2,0
440,Hillsborough,1,0
441,Manatee,1,0
442,Fulton,2,0
443,Cook,4,0
444,Norfolk,1,0
445,Suffolk,1,0
446,Douglas,13,0
447,Grafton,1,0
448,New York City,1,0
449,Washington,2,0
450,Unknown,2,0
451,Bexar,11,0
452,Salt Lake,1,0
453,King,15,6
454,Snohomish,3,0
455,Spokane,4,0
456,Walla Walla,1,0
457,Dane,1,0
458,Maricopa,2,0
459,Alameda,2,0
460,Contra Costa,1,0
461,Humboldt,1,0
462,Los Angeles,1,0
463,Marin,1,0
464,Napa,1,0
465,Orange,3,0
466,Placer,2,0
467,Sacramento,3,0
468,San Diego,1,0
469,San Francisco,3,0
470,San Mateo,1,0
471,Santa Clara,11,0
472,Solano,12,0
473,Sonoma,2,0
474,Hillsborough,2,0
475,Manatee,1,0
476,Fulton,2,0
477,Cook,4,0
478,Norfolk,1,0
479,Suffolk,1,0
480,Douglas,13,0
481,Grafton,2,0
482,New York City,2,0
483,Wake,1,0
484,Washington,2,0
485,Unknown,2,0
486,Bexar,11,0
487,Salt Lake,1,0
488,King,22,10
